"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
NA,"animalia","actinopterygii","chordata","Salaria economidisi","blenniidae","economidisi","perciformes","salaria",2006,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Parachondrostoma arrigonis","cyprinidae","arrigonis","cypriniformes","parachondrostoma",2006,"Decreasing","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases","Wetlands (inland)"
NA,"animalia","reptilia","chordata","Gallotia simonyi","lacertidae","simonyi","squamata","gallotia",2009,"Stable","Palearctic","Terrestrial","Global;Europe","14 December 2008",NA,"Biological resource use;Invasive and other problematic species, genes & diseases","Shrubland;Rocky areas (eg. inland cliffs, mountain peaks)"
NA,"animalia","actinopterygii","chordata","Galaxias johnstoni","galaxiidae","johnstoni","osmeriformes","galaxias",1996,NA,"Australasian","Freshwater (=Inland waters);Marine;Freshwater (=Inland waters) and Marine","Global","01 August 1996",NA,"",""
NA,"animalia","actinopterygii","chordata","Haplochromis michaeli","cichlidae","michaeli","perciformes","haplochromis",2010,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","31 March 2010",NA,"Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
"Ganges Shark","animalia","chondrichthyes","chordata","Glyphis gangeticus","carcharhinidae","gangeticus","carcharhiniformes","glyphis",2007,"Decreasing","Indomalayan","Freshwater (=Inland waters);Marine;Freshwater (=Inland waters) and Marine","Global","01 March 2007",NA,"Residential & commercial development;Biological resource use;Natural system modifications","Wetlands (inland);Marine Neritic"
NA,"animalia","actinopterygii","chordata","Glossolepis wanamensis","melanotaeniidae","wanamensis","atheriniformes","glossolepis",1996,"Unknown","Australasian","Freshwater (=Inland waters)","Global","01 August 1996",NA,"Invasive and other problematic species, genes & diseases","Wetlands (inland)"
NA,"animalia","reptilia","chordata","Sibon merendonensis","dipsadidae","merendonensis","squamata","sibon",2014,"Unknown","Neotropical","Terrestrial","Global","07 May 2012",NA,"Agriculture & aquaculture;Biological resource use","Forest"
NA,"animalia","gastropoda","mollusca","Bulimulus sp. nov. 'josevillani'","orthalicidae","sp. nov. 'josevillani'","stylommatophora","bulimulus",2003,"Unknown","Neotropical","Terrestrial","Global","30 April 2003",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","gastropoda","mollusca","Bulimulus sp. nov. 'nilsodhneri'","orthalicidae","sp. nov. 'nilsodhneri'","stylommatophora","bulimulus",2003,"Unknown","Neotropical","Terrestrial","Global","30 April 2003",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Shrubland;Grassland"
"Greek Brook Lamprey","animalia","cephalaspidomorphi","chordata","Caspiomyzon hellenicus","petromyzontidae","hellenicus","petromyzontiformes","caspiomyzon",2006,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","31 January 2006",NA,"Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Haplochromis heusinkveldi","cichlidae","heusinkveldi","perciformes","haplochromis",2010,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","31 March 2010",NA,"Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Ceylonthelphusa nata","gecarcinucidae","nata","decapoda","ceylonthelphusa",2008,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","01 January 2008",NA,"Residential & commercial development;Pollution","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Perbrinckia cracens","gecarcinucidae","cracens","decapoda","perbrinckia",2008,"Unknown","Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 January 2008",NA,"Biological resource use;Pollution","Forest;Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Clinothelphusa kakoota","gecarcinucidae","kakoota","decapoda","clinothelphusa",2008,"Unknown","Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 January 2008",NA,"Biological resource use;Pollution","Forest;Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Perbrinckia rosae","gecarcinucidae","rosae","decapoda","perbrinckia",2008,"Unknown","Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 January 2008",NA,"Biological resource use;Pollution","Forest;Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Perbrinckia gabadagei","gecarcinucidae","gabadagei","decapoda","perbrinckia",2008,"Decreasing","Indomalayan","Freshwater (=Inland waters)","Global","01 January 2008",NA,"Human intrusions & disturbance","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Tilapia guinasana","cichlidae","guinasana","perciformes","tilapia",2007,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;S. Africa FW;Pan-Africa","01 March 2007",NA,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases","Wetlands (inland)"
NA,"animalia","reptilia","chordata","Masticophis anthonyi","colubridae","anthonyi","squamata","masticophis",2007,"Unknown","Neotropical","Terrestrial","Global","01 March 2007",NA,"Invasive and other problematic species, genes & diseases","Shrubland;Grassland"
NA,"animalia","anthozoa","cnidaria","Rhizopsammia wellingtoni","dendrophylliidae","wellingtoni","scleractinia","rhizopsammia",2007,"Decreasing","Neotropical","Marine","Global","01 March 2007",NA,"Climate change & severe weather","Marine Neritic"
