"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Reticulate Leaf Frog","animalia","amphibia","chordata","Pithecopus ayeaye","phyllomedusidae","ayeaye","anura","pithecopus",2016,"Unknown","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","07 January 2009",NA,"Energy production & mining;Natural system modifications;Pollution","Shrubland;Wetlands (inland)"
"Baer's Pochard","animalia","aves","chordata","Aythya baeri","anatidae","baeri","anseriformes","aythya",2017,"Decreasing","Indomalayan;Palearctic","Freshwater (=Inland waters)","Global","01 October 2017",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland);Artificial/Aquatic & Marine"
"White-bellied Heron","animalia","aves","chordata","Ardea insignis","ardeidae","insignis","pelecaniformes","ardea",2017,"Decreasing","Indomalayan","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Biological resource use;Human intrusions & disturbance;Natural system modifications;Pollution","Forest;Grassland;Wetlands (inland)"
"Blue-billed Curassow","animalia","aves","chordata","Crax alberti","cracidae","alberti","galliformes","crax",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Transportation & service corridors;Biological resource use;Pollution","Forest"
"Bengal Florican","animalia","aves","chordata","Houbaropsis bengalensis","otididae","bengalensis","otidiformes","houbaropsis",2017,"Decreasing","Indomalayan","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Transportation & service corridors;Biological resource use;Human intrusions & disturbance","Grassland;Artificial/Terrestrial"
"Blue-fronted Lorikeet","animalia","aves","chordata","Charmosyna toxopei","psittacidae","toxopei","psittaciformes","charmosyna",2017,"Decreasing","Oceanian","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Climate change & severe weather","Forest"
"Northern Bald Ibis","animalia","aves","chordata","Geronticus eremita","threskiornithidae","eremita","pelecaniformes","geronticus",2017,"Decreasing","Afrotropical;Palearctic","Terrestrial","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution;Climate change & severe weather","Shrubland;Grassland;Wetlands (inland);Rocky areas (eg. inland cliffs, mountain peaks);Caves and Subterranean Habitats (non-aquatic);Marine Coastal/Supratidal;Artificial/Terrestrial"
"Galapagos Petrel","animalia","aves","chordata","Pterodroma phaeopygia","procellariidae","phaeopygia","procellariiformes","pterodroma",2017,"Decreasing","Neotropical;Oceanian","Terrestrial;Marine;Terrestrial and Marine","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest;Shrubland;Marine Neritic;Marine Oceanic"
"Yellow-breasted Bunting","animalia","aves","chordata","Emberiza aureola","emberizidae","aureola","passeriformes","emberiza",2017,"Decreasing","Indomalayan;Nearctic;Palearctic","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","01 October 2017",NA,"Agriculture & aquaculture;Biological resource use;Pollution","Shrubland;Grassland;Wetlands (inland);Artificial/Terrestrial"
"Mascarene Petrel","animalia","aves","chordata","Pseudobulweria aterrima","procellariidae","aterrima","procellariiformes","pseudobulweria",2016,"Decreasing","Afrotropical","Terrestrial;Marine;Terrestrial and Marine","Global","01 October 2016",NA,"Residential & commercial development;Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Shrubland;Marine Neritic;Marine Oceanic"
"Hawksbill Turtle","animalia","reptilia","chordata","Eretmochelys imbricata","cheloniidae","imbricata","testudines","eretmochelys",2008,"Decreasing","Afrotropical;Australasian;Indomalayan;Nearctic;Neotropical;Palearctic","Terrestrial;Marine;Terrestrial and Marine","Global","30 June 2008",NA,"Residential & commercial development;Energy production & mining;Biological resource use;Human intrusions & disturbance;Pollution;Climate change & severe weather","Marine Neritic;Marine Oceanic;Marine Intertidal"
NA,"animalia","gastropoda","mollusca","Janulus pompylius","gastrodontidae","pompylius","stylommatophora","janulus",2017,"Unknown","Palearctic","Terrestrial","Global;Europe","19 November 2016",49,"","Forest"
NA,"animalia","gastropoda","mollusca","Palaina albata","diplommatinidae","albata","architaenioglossa","palaina",2012,"Unknown","Oceanian","Terrestrial","Global","22 August 2011",NA,"Residential & commercial development;Biological resource use","Forest"
"Haddleton Lampmussel","animalia","bivalvia","mollusca","Obovaria haddletoni","unionidae","haddletoni","unionoida","obovaria",2012,NA,"Nearctic","Freshwater (=Inland waters)","Global","11 April 2012",NA,"Energy production & mining;Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
"Pohnpei ground Partula snail","animalia","gastropoda","mollusca","Partula guamensis","partulidae","guamensis","stylommatophora","partula",2012,"Unknown","Oceanian","Terrestrial","Global","24 August 2011",4,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","gastropoda","mollusca","Islamia pseudorientalica","hydrobiidae","pseudorientalica","littorinimorpha","islamia",2014,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Mediterranean","19 November 2009",NA,"","Wetlands (inland)"
NA,"animalia","bivalvia","mollusca","Fusconaia mitchelli","unionidae","mitchelli","unionoida","fusconaia",2014,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","07 March 2014",NA,"Agriculture & aquaculture;Transportation & service corridors;Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","diplopoda","arthropoda","Diglossosternoides curiosus","paradoxosomatidae","curiosus","polydesmida","diglossosternoides",2014,"Unknown","Afrotropical","Terrestrial","Global","01 November 2012",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
NA,"animalia","bivalvia","mollusca","Fusconaia cor","unionidae","cor","unionoida","fusconaia",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","05 March 2012",NA,"Natural system modifications;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
"Ample Elimia","animalia","gastropoda","mollusca","Elimia ampla","pleuroceridae","ampla","sorbeoconcha","elimia",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","05 March 2012",NA,"Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
"Appalachian Elktoe","animalia","bivalvia","mollusca","Alasmidonta raveneliana","unionidae","raveneliana","unionoida","alasmidonta",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","12 March 2012",NA,"Energy production & mining;Natural system modifications;Pollution;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Diplommatina alata","diplommatinidae","alata","architaenioglossa","diplommatina",2012,"Unknown","Oceanian","Terrestrial","Global","22 August 2011",NA,"Residential & commercial development;Biological resource use","Forest"
NA,"animalia","gastropoda","mollusca","Laminella sanguinea","amastridae","sanguinea","stylommatophora","laminella",1996,NA,"Australasian","Terrestrial","Global","01 August 1996",NA,"",""
NA,"animalia","gastropoda","mollusca","Lanistes neritoides","ampullariidae","neritoides","architaenioglossa","lanistes",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Central Africa","03 June 2008",NA,"Energy production & mining;Biological resource use;Pollution","Wetlands (inland)"
"Black-faced Lion Tamarin","animalia","mammalia","chordata","Leontopithecus caissara","callitrichidae","caissara","primates","leontopithecus",2008,"Decreasing","Neotropical","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance","Forest"
NA,"animalia","gastropoda","mollusca","Lemniscia galeata","hygromiidae","galeata","stylommatophora","lemniscia",2011,"Unknown","Palearctic","Terrestrial","Global;Europe","30 September 2010",NA,"","Grassland"
NA,"animalia","gastropoda","mollusca","Leiostyla cassidula","lauriidae","cassidula","stylommatophora","leiostyla",2011,"Unknown","Palearctic","Terrestrial","Global;Europe","31 August 2010",NA,"Transportation & service corridors;Pollution","Forest;Rocky areas (eg. inland cliffs, mountain peaks)"
NA,"animalia","gastropoda","mollusca","Aaadonta angaurana","endodontidae","angaurana","stylommatophora","aaadonta",2012,"Unknown","Oceanian","Terrestrial","Global","22 August 2011",NA,"Biological resource use","Forest"
NA,"animalia","gastropoda","mollusca","Iglica gratulabunda","hydrobiidae","gratulabunda","littorinimorpha","iglica",2010,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","17 December 2009",NA,"","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Ingolfiella longipes","ingolfiellidae","longipes","amphipoda","ingolfiella",1996,NA,"Neotropical","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","insecta","arthropoda","Ixalodectes flectocercus","tettigoniidae","flectocercus","orthoptera","ixalodectes",1996,NA,"Australasian","Terrestrial","Global","01 August 1996",NA,"",""
NA,"animalia","malacostraca","arthropoda","Parathelphusa reticulata","gecarcinucidae","reticulata","decapoda","parathelphusa",2008,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","01 January 2008",NA,"Residential & commercial development;Pollution","Forest;Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Salvelinus lonsdalii","salmonidae","lonsdalii","salmoniformes","salvelinus",2008,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Invasive and other problematic species, genes & diseases","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Alburnus vistonicus","cyprinidae","vistonicus","cypriniformes","alburnus",2008,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Biological resource use;Natural system modifications;Pollution","Wetlands (inland);Marine Coastal/Supratidal"
NA,"animalia","actinopterygii","chordata","Yunnanilus discoloris","balitoridae","discoloris","cypriniformes","yunnanilus",2008,"Decreasing","Palearctic","Freshwater (=Inland waters)","Global","01 January 2008",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases","Wetlands (inland);Artificial/Aquatic & Marine"
NA,"animalia","actinopterygii","chordata","Alburnus macedonicus","cyprinidae","macedonicus","cypriniformes","alburnus",2008,"Decreasing","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Natural system modifications","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Salvelinus grayi","salmonidae","grayi","salmoniformes","salvelinus",2008,"Decreasing","Palearctic","Freshwater (=Inland waters)","Global;Europe","01 January 2008",NA,"Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Tehuana veracruzana","pseudothelphusidae","veracruzana","decapoda","tehuana",2008,"Unknown","Neotropical","Freshwater (=Inland waters)","Global","01 January 2008",NA,"Agriculture & aquaculture;Pollution","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Procambarus paradoxus","cambaridae","paradoxus","decapoda","procambarus",2010,"Unknown","Nearctic","Freshwater (=Inland waters)","Global","01 June 2010",NA,"Residential & commercial development;Pollution","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Ogasawarana chichijimana","helicinidae","chichijimana","cycloneritimorpha","ogasawarana",1996,NA,"Australasian","Terrestrial","Global","01 August 1996",NA,"",""
NA,"animalia","actinopterygii","chordata","Oncorhynchus formosanus","salmonidae","formosanus","salmoniformes","oncorhynchus",1996,NA,"Indomalayan","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
"Caddo Chimney Crayfish","animalia","malacostraca","arthropoda","Procambarus machardyi","cambaridae","machardyi","decapoda","procambarus",2010,"Unknown","Nearctic","Freshwater (=Inland waters)","Global","01 June 2010",10,"Residential & commercial development;Pollution","Wetlands (inland)"
"White Spring Cave Crayfish","animalia","malacostraca","arthropoda","Cambarus veitchorum","cambaridae","veitchorum","decapoda","cambarus",2010,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","01 June 2010",NA,"","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Partula gibba","partulidae","gibba","stylommatophora","partula",1996,NA,"Australasian","Terrestrial","Global","01 August 1996",NA,"",""
"Ornate Sleeper Ray","animalia","chondrichthyes","chordata","Electrolux addisoni","narkidae","addisoni","rajiformes","electrolux",2009,"Unknown","Afrotropical","Marine","Global","01 December 2008",NA,"Residential & commercial development;Biological resource use;Pollution","Marine Neritic"
NA,"animalia","gastropoda","mollusca","Bythinella gloeeri","hydrobiidae","gloeeri","littorinimorpha","bythinella",2010,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe;Mediterranean","19 November 2009",NA,"Residential & commercial development;Human intrusions & disturbance","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Alzoniella marianae","hydrobiidae","marianae","littorinimorpha","alzoniella",2011,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","10 May 2010",NA,"Natural system modifications","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Grossuana thracica","hydrobiidae","thracica","littorinimorpha","grossuana",2010,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe","19 November 2009",NA,"Agriculture & aquaculture;Natural system modifications;Pollution","Wetlands (inland)"
"Deccan Barb","animalia","actinopterygii","chordata","Puntius deccanensis","cyprinidae","deccanensis","cypriniformes","puntius",2011,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","03 July 2010",NA,"Human intrusions & disturbance;Pollution","Wetlands (inland)"
NA,"animalia","insecta","arthropoda","Allocnemis maccleeryi","platycnemididae","maccleeryi","odonata","allocnemis",2010,"Unknown","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","22 August 2003",NA,"Agriculture & aquaculture;Biological resource use","Forest;Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Chilostoma harpya","helicidae","harpya","stylommatophora","chilostoma",2011,"Unknown","Palearctic","Terrestrial","Global;Europe;Mediterranean","27 June 2010",NA,"Biological resource use","Forest"
NA,"animalia","gastropoda","mollusca","Acroloxus macedonicus","acroloxidae","macedonicus","hygrophila","acroloxus",2010,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe;Mediterranean","23 November 2009",NA,"Natural system modifications;Pollution","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Islamia hadei","hydrobiidae","hadei","littorinimorpha","islamia",2011,"Unknown","Palearctic","Freshwater (=Inland waters)","Global;Europe;Mediterranean","15 November 2009",NA,"Natural system modifications","Wetlands (inland)"
"Bitungu","animalia","actinopterygii","chordata","Barbodes truncatulus","cyprinidae","truncatulus","cypriniformes","barbodes",1996,NA,"Indomalayan","Freshwater (=Inland waters)","Global","01 August 1996",NA,"","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Napaeus osoriensis","enidae","osoriensis","stylommatophora","napaeus",2011,"Unknown","Palearctic","Terrestrial","Global;Europe","30 September 2010",NA,"Biological resource use;Natural system modifications","Forest"
NA,"animalia","gastropoda","mollusca","Tacheocampylaea romagnolii","helicidae","romagnolii","stylommatophora","tacheocampylaea",2011,"Unknown","Palearctic","Terrestrial","Global;Europe","08 March 2011",NA,"Residential & commercial development;Transportation & service corridors;Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","gastropoda","mollusca","Cernuella aradasii","hygromiidae","aradasii","stylommatophora","cernuella",2011,"Unknown","Palearctic","Terrestrial","Global;Europe","15 April 2011",NA,"Residential & commercial development;Human intrusions & disturbance","Marine Coastal/Supratidal"
NA,"animalia","amphibia","chordata","Phrynobatrachus intermedius","phrynobatrachidae","intermedius","anura","phrynobatrachus",2011,"Unknown","Afrotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","10 December 2010",NA,"Agriculture & aquaculture;Biological resource use","Forest"
NA,"animalia","gastropoda","mollusca","Gabbia alticola","bithyniidae","alticola","littorinimorpha","gabbia",2011,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","03 March 2010",NA,"Residential & commercial development;Human intrusions & disturbance;Pollution","Wetlands (inland)"
"Pindai Dwarf Skink","animalia","reptilia","chordata","Nannoscincus hanchisteus","scincidae","hanchisteus","squamata","nannoscincus",2010,"Unknown","Australasian","Terrestrial","Global","30 June 2009",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","bivalvia","mollusca","Plethobasus cooperianus","unionidae","cooperianus","unionoida","plethobasus",1996,NA,"Nearctic","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","arachnida","arthropoda","Anapistula ataecina","symphytognathidae","ataecina","araneae","anapistula",2010,"Decreasing","Palearctic","Terrestrial","Global","27 May 2009",NA,"Energy production & mining;Human intrusions & disturbance","Caves and Subterranean Habitats (non-aquatic)"
NA,"animalia","actinopterygii","chordata","Chiloglanis polyodon","mochokidae","polyodon","siluriformes","chiloglanis",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Western Africa;Pan-Africa","28 July 2006",NA,"Agriculture & aquaculture;Natural system modifications;Climate change & severe weather","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Haplochromis percoides","cichlidae","percoides","perciformes","haplochromis",2010,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","31 March 2010",NA,"Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Haplochromis longirostris","cichlidae","longirostris","perciformes","haplochromis",2010,"Decreasing","Afrotropical","Freshwater (=Inland waters)","Global;Pan-Africa;Eastern Africa","31 March 2010",NA,"Biological resource use;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Synodontis dekimpei","mochokidae","dekimpei","siluriformes","synodontis",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Western Africa;Pan-Africa","27 November 2006",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Pollution","Wetlands (inland)"
NA,"animalia","actinopterygii","chordata","Epiplatys coccinatus","nothobranchiidae","coccinatus","cyprinodontiformes","epiplatys",2010,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Western Africa;Pan-Africa","07 December 2006",NA,"Agriculture & aquaculture;Energy production & mining;Biological resource use;Pollution","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Procambarus delicatus","cambaridae","delicatus","decapoda","procambarus",2010,"Unknown","Nearctic","Freshwater (=Inland waters)","Global","01 June 2010",NA,"Human intrusions & disturbance","Wetlands (inland)"
"Broadspotted Molly","animalia","actinopterygii","chordata","Poecilia latipunctata","poeciliidae","latipunctata","cyprinodontiformes","poecilia",1996,NA,"Neotropical","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
"Alchichica Silverside","animalia","actinopterygii","chordata","Poblana alchichica","atherinidae","alchichica","atheriniformes","poblana",1996,NA,"Neotropical","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","gastropoda","mollusca","Leptoxis melanoides","pleuroceridae","melanoides","sorbeoconcha","leptoxis",1996,NA,"Nearctic","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","maxillopoda","arthropoda","Antrisocopia prehensilis","platycopiidae","prehensilis","platycopioida","antrisocopia",1996,NA,"Neotropical","Marine","Global","01 August 1996",NA,"","Marine Coastal/Supratidal"
NA,"animalia","bivalvia","mollusca","Pleurobema collina","unionidae","collina","unionoida","pleurobema",1996,NA,"Nearctic","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
"Prakke's Reed Snake","animalia","reptilia","chordata","Calamaria prakkei","calamariidae","prakkei","squamata","calamaria",2012,"Decreasing","Indomalayan","Terrestrial","Global","30 August 2011",NA,"Residential & commercial development","Forest;Artificial/Terrestrial"
NA,"animalia","bivalvia","mollusca","Ptychobranchus jonesi","unionidae","jonesi","unionoida","ptychobranchus",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","07 June 2012",NA,"Agriculture & aquaculture;Energy production & mining;Pollution","Wetlands (inland)"
"Saaristo's giant mite","animalia","arachnida","arthropoda","Michaelothyrus seychellensis","holothyridae","seychellensis","holothyroidae","michaelothyrus",2014,"Unknown","Afrotropical","Terrestrial","Global","01 December 2012",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","malacostraca","arthropoda","Lancaris kumariae","atyidae","kumariae","decapoda","lancaris",2013,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","19 November 2011",NA,"Biological resource use;Human intrusions & disturbance;Invasive and other problematic species, genes & diseases;Pollution","Wetlands (inland)"
NA,"animalia","gastropoda","mollusca","Hadopyrgus ngataana","hydrobiidae","ngataana","littorinimorpha","hadopyrgus",2013,"Decreasing","Australasian","Freshwater (=Inland waters)","Global","27 July 2011",NA,"Human intrusions & disturbance","Wetlands (inland)"
"Campbell's Alligator Lizard","animalia","reptilia","chordata","Abronia campbelli","anguidae","campbelli","squamata","abronia",2013,"Decreasing","Neotropical","Terrestrial","Global","06 May 2012",500,"Agriculture & aquaculture;Biological resource use;Pollution","Forest"
NA,"animalia","gastropoda","mollusca","Omphalotropis ingens","assimineidae","ingens","littorinimorpha","omphalotropis",2012,"Unknown","Oceanian","Terrestrial","Global","18 August 2011",NA,"Biological resource use;Invasive and other problematic species, genes & diseases","Unknown"
NA,"animalia","gastropoda","mollusca","Trochomorpha moalensis","zonitidae","moalensis","stylommatophora","trochomorpha",2012,"Unknown","Oceanian","Terrestrial","Global","22 August 2011",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","gastropoda","mollusca","Sinployea navutuenis","charopidae","navutuenis","stylommatophora","sinployea",2012,"Unknown","Oceanian","Terrestrial","Global","24 August 2011",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","amphibia","chordata","Callulina shengena","brevicipitidae","shengena","anura","callulina",2012,"Unknown","Afrotropical","Terrestrial","Global","27 June 2011",NA,"Biological resource use","Forest"
NA,"animalia","arachnida","arthropoda","Euso muehlenbergi","ochyroceratidae","muehlenbergi","araneae","euso",2014,"Unknown","Afrotropical","Terrestrial","Global","01 December 2012",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
"Little Earth Hutia","animalia","mammalia","chordata","Mesocapromys sanfelipensis","capromyidae","sanfelipensis","rodentia","mesocapromys",2008,"Unknown","Neotropical","Terrestrial","Global","30 June 2008",NA,"Biological resource use;Natural system modifications;Invasive and other problematic species, genes & diseases","Wetlands (inland)"
"Zuniga's Dark Rice Rat","animalia","mammalia","chordata","Melanomys zunigae","cricetidae","zunigae","rodentia","melanomys",2008,"Unknown","Neotropical","Terrestrial","Global","30 June 2008",NA,"Agriculture & aquaculture;Energy production & mining","Shrubland;Desert"
NA,"animalia","insecta","arthropoda","Aneuretus simoni","formicidae","simoni","hymenoptera","aneuretus",1996,NA,"Indomalayan","Terrestrial","Global","01 August 1996",NA,"",""
NA,"animalia","gastropoda","mollusca","Ancylastrum cumingianus","planorbidae","cumingianus","hygrophila","ancylastrum",1996,NA,"Australasian","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","insecta","arthropoda","Meladema imbricata","dytiscidae","imbricata","coleoptera","meladema",1996,NA,"Palearctic","Freshwater (=Inland waters)","Global","01 August 1996",NA,"",""
NA,"animalia","bivalvia","mollusca","Medionidus simpsonianus","unionidae","simpsonianus","unionoida","medionidus",2000,NA,"Nearctic","Freshwater (=Inland waters)","Global","30 June 2000",NA,"","Wetlands (inland)"
NA,"animalia","reptilia","chordata","Enulius bifoveatus","dipsadidae","bifoveatus","squamata","enulius",2014,"Unknown","Neotropical","Terrestrial","Global","08 May 2012",NA,"Residential & commercial development;Climate change & severe weather","Forest"
NA,"animalia","gastropoda","mollusca","Boettgeria obesiuscula","clausiliidae","obesiuscula","stylommatophora","boettgeria",2017,"Decreasing","Palearctic","Terrestrial","Global;Europe","02 December 2016",NA,"Transportation & service corridors;Human intrusions & disturbance;Pollution","Shrubland"
"Brune's Springsnail","animalia","gastropoda","mollusca","Tryonia brunei","cochliopidae","brunei","littorinimorpha","tryonia",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","05 March 2012",NA,"Natural system modifications","Wetlands (inland)"
NA,"animalia","amphibia","chordata","Craugastor obesus","craugastoridae","obesus","anura","craugastor",2014,"Unknown","Neotropical","Terrestrial;Freshwater (=Inland waters);Terrestrial and Freshwater (=Inland waters)","Global","14 July 2013",NA,"Invasive and other problematic species, genes & diseases","Forest;Wetlands (inland)"
NA,"animalia","arachnida","arthropoda","Prodida stella","prodidomidae","stella","araneae","prodida",2014,"Unknown","Afrotropical","Terrestrial","Global","01 December 2012",NA,"Climate change & severe weather","Forest"
NA,"animalia","arachnida","arthropoda","Opopaea probosciella","oonopidae","probosciella","araneae","opopaea",2014,"Unknown","Afrotropical","Terrestrial","Global","01 December 2012",NA,"Residential & commercial development;Agriculture & aquaculture;Climate change & severe weather","Shrubland"
NA,"animalia","arachnida","arthropoda","Hybosida lucida","palpimanidae","lucida","araneae","hybosida",2014,"Unknown","Afrotropical","Terrestrial","Global","01 December 2012",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
NA,"animalia","actinopterygii","chordata","Stiphodon rubromaculatus","gobiidae","rubromaculatus","perciformes","stiphodon",2012,"Unknown","Oceanian","Freshwater (=Inland waters);Marine;Freshwater (=Inland waters) and Marine","Global","30 August 2011",NA,"Agriculture & aquaculture;Natural system modifications","Wetlands (inland)"
NA,"animalia","malacostraca","arthropoda","Caridina yilong","atyidae","yilong","decapoda","caridina",2013,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","04 April 2012",NA,"Residential & commercial development;Natural system modifications;Pollution","Wetlands (inland)"
NA,"animalia","arachnida","arthropoda","Moneta coercervea","theridiidae","coercervea","araneae","moneta",2014,"Unknown","Afrotropical","Terrestrial","Global","01 November 2012",NA,"Invasive and other problematic species, genes & diseases","Forest"
"Dusky Galaxias","animalia","actinopterygii","chordata","Galaxias pullus","galaxiidae","pullus","osmeriformes","galaxias",2014,"Decreasing","Australasian","Freshwater (=Inland waters)","Global","05 August 2014",NA,"Agriculture & aquaculture;Natural system modifications;Invasive and other problematic species, genes & diseases","Wetlands (inland)"
"Desroches cockroach","animalia","insecta","arthropoda","Delosia ornata","blattellidae","ornata","blattodea","delosia",2012,"Unknown","Afrotropical","Terrestrial","Global","25 October 2007",NA,"Residential & commercial development;Agriculture & aquaculture;Climate change & severe weather","Forest"
NA,"animalia","insecta","arthropoda","Arachnocephalus medvedevi","mogoplistidae","medvedevi","orthoptera","arachnocephalus",2012,"Unknown","Afrotropical","Terrestrial","Global","27 October 2007",NA,"Climate change & severe weather","Shrubland"
NA,"animalia","insecta","arthropoda","Theganopteryx scotti","blattellidae","scotti","blattodea","theganopteryx",2012,"Unknown","Afrotropical","Terrestrial","Global","25 October 2007",NA,"Residential & commercial development;Agriculture & aquaculture;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
NA,"animalia","insecta","arthropoda","Sliferia similis","blattellidae","similis","blattodea","sliferia",2012,"Unknown","Afrotropical","Terrestrial","Global","25 October 2007",NA,"Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
